"lag","ir_Tdelta","ir_Gv"
0,0.615653856700862,-0.809902704362622
1,0.0429088159916767,-0.294648969299324
2,0.00679236948059644,-0.022046849574191
3,0.00728615319930803,-0.0291483278877391
4,-0.0132265033029347,-0.0267403271276004
5,-0.0192595137429471,0.0397299312482737
6,-0.0170041229521914,0.070001737884381
7,0.0511783158049699,0.0718762861810292
8,-0.020898805600547,0.0931029045886893
9,-0.0342355079338709,0.0699329702041741
10,-0.00913266545578997,0.0778869312798097
