"tdate","Ph_actual","Ph_pred","residual"
2013-01-30 02:00:00,56,51.6753371503644,4.32466284963563
2013-01-30 03:00:00,54,51.4635072895105,2.53649271048947
2013-01-30 04:00:00,55,50.5820239224963,4.41797607750368
2013-01-30 05:00:00,54,49.38892579841,4.61107420158997
2013-01-30 06:00:00,54,49.2640192459866,4.73598075401343
2013-01-30 07:00:00,54,49.6576873402438,4.34231265975619
2013-01-30 08:00:00,53,49.8134312848046,3.18656871519536
2013-01-30 09:00:00,54,50.5656326033696,3.43436739663044
2013-01-30 10:00:00,53,49.2096480124227,3.7903519875773
2013-01-30 11:00:00,52,46.7097670765783,5.29023292342166
2013-01-30 12:00:00,50,45.6567284526772,4.34327154732278
2013-01-30 13:00:00,50,50.7407868221301,-0.740786822130129
2013-01-30 14:00:00,48,46.0035903182017,1.99640968179835
2013-01-30 15:00:00,17,12.9789953015387,4.02100469846128
2013-01-30 16:00:00,27,25.9475599253583,1.05244007464172
2013-01-30 17:00:00,26,34.4424038550014,-8.44240385500137
2013-01-30 18:00:00,47,59.2684219858601,-12.2684219858601
2013-01-30 19:00:00,53,63.4566011130888,-10.4566011130888
2013-01-30 20:00:00,58,65.0546452123998,-7.05464521239983
2013-01-30 21:00:00,61,66.2827883515676,-5.28278835156762
2013-01-30 22:00:00,64,67.2987525983615,-3.29875259836152
2013-01-30 23:00:00,67,67.6870937197139,-0.687093719713884
2013-01-31,69,68.3279639564929,0.672036043507143
2013-01-31 01:00:00,71,69.0488838517421,1.95111614825786
2013-01-31 02:00:00,71,69.2172196171773,1.78278038282266
2013-01-31 03:00:00,73,70.5500336812234,2.44996631877656
2013-01-31 04:00:00,72,69.2289807053109,2.77101929468913
2013-01-31 05:00:00,73,70.3345074762201,2.66549252377989
2013-01-31 06:00:00,74,73.0491219556889,0.950878044311057
2013-01-31 07:00:00,73,74.2060054782763,-1.20600547827628
2013-01-31 08:00:00,74,74.0425901898345,-0.0425901898344647
2013-01-31 09:00:00,75,74.8649249586633,0.135075041336711
2013-01-31 10:00:00,75,71.7101363796252,3.28986362037476
2013-01-31 11:00:00,69,64.2849994976253,4.71500050237468
2013-01-31 12:00:00,72,69.2062217227221,2.79377827727787
2013-01-31 13:00:00,73,71.5766362485908,1.42336375140922
2013-01-31 14:00:00,71,58.2984045887251,12.7015954112748
2013-01-31 15:00:00,35,24.9835482092136,10.0164517907864
2013-01-31 16:00:00,37,38.1219561742586,-1.12195617425861
2013-01-31 17:00:00,50,49.2363813825313,0.76361861746867
2013-01-31 18:00:00,62,64.5879247645117,-2.58792476451166
2013-01-31 19:00:00,66,66.4659407947239,-0.465940794723955
2013-01-31 20:00:00,67,68.0640875092853,-1.0640875092853
2013-01-31 21:00:00,69,69.0272517679568,-0.0272517679568025
2013-01-31 22:00:00,70,69.3803517588823,0.619648241117702
2013-01-31 23:00:00,71,69.4120450238102,1.58795497618978
