"lag","acf_Ph","acf_Tdelta","acf_Gv"
0,1,1,1
1,0.848121522959079,0.962709202136533,0.687370687506953
2,0.658364180365152,0.914650729453781,0.426540265880207
3,0.510186758080499,0.86489892582329,0.261352163269463
4,0.375960754879888,0.814722344963076,0.0825368867622219
5,0.242705738192153,0.765565785721439,-0.0525557944830015
6,0.134902262100327,0.7177032715484,-0.135831065761078
7,0.0582878482223008,0.672087771688979,-0.177805419722605
8,0.00594324777575556,0.628441459992067,-0.188190880913631
9,-0.0255560401885418,0.587435747958532,-0.184431072267434
10,-0.0533735324041751,0.544696506420915,-0.183639627999547
11,-0.0585439557714887,0.503845564485392,-0.180299373162655
12,-0.0351017287695975,0.470364571594113,-0.167204190948712
13,-0.0206997353586853,0.433573674224532,-0.159296797863343
14,-0.0215493518761102,0.392512972699059,-0.144962882414736
15,-0.0204244351750723,0.347403837820568,-0.137142870622182
16,-0.0132829490769024,0.302624812405073,-0.131303397303419
17,0.00987565786336565,0.259879478620561,-0.11511715527471
18,0.0520089595760739,0.226472396824021,-0.06516681811969
19,0.117281889648128,0.203205713352946,0.0257576092911462
20,0.178321301897564,0.184687926123622,0.143869632470173
21,0.201483234134109,0.168087179909544,0.134643352413601
22,0.247460301234972,0.155080240792209,0.200128957216779
23,0.277009296295509,0.142217151076044,0.265869489660627
24,0.259633372943575,0.12518804453209,0.232448397946591
25,0.193712557676239,0.10181413188921,0.10402834980456
26,0.131748983532511,0.0788069188656883,0.014574096139946
27,0.0863983124805037,0.055166298247176,-0.0397202100682174
28,0.0517144991149609,0.0347981490143761,-0.0612010230057962
29,0.0191820138866064,0.0187363490640155,-0.0745623226074441
30,-0.0169377732545415,0.00781802251014067,-0.122329854115908
