"tdate","Ph","Tdelta","Gv"
2013-02-02 22:00:00,88,23.82975,-1.47604974159167
2013-02-02 23:00:00,90,24.4173333333333,-1.283866279075
2013-02-03,93,24.0504166666667,-0.131508397941667
2013-02-03 01:00:00,93,23.76825,-0.612112403083333
2013-02-03 02:00:00,94,23.4105,-0.272997416033333
2013-02-03 03:00:00,94,23.2652916666667,-0.295978682166667
2013-02-03 04:00:00,93,23.0110416666667,-0.253052325566667
2013-02-03 05:00:00,93,22.9663333333333,-0.513323643416667
2013-02-03 06:00:00,92,22.8005,-0.155765503883333
2013-02-03 07:00:00,91,22.5943333333333,-0.216941214466667
2013-02-03 08:00:00,91,22.79625,-0.323045865625
2013-02-03 09:00:00,90,22.7166666666667,2.75198643411667
2013-02-03 10:00:00,89,22.55275,19.9499677002667
2013-02-03 11:00:00,83,22.402,129.502874677
2013-02-03 12:00:00,43,21.4095833333333,416.045623385033
2013-02-03 13:00:00,59,21.4106666666667,197.928617571058
2013-02-03 14:00:00,73,21.373625,76.9048934108417
2013-02-03 15:00:00,78,21.4016666666667,25.253989018075
2013-02-03 16:00:00,80,21.3540833333333,17.4856427648667
2013-02-03 17:00:00,82,21.8073333333333,8.26040051679167
2013-02-03 18:00:00,84,22.0860416666667,0.12679263565
2013-02-03 19:00:00,85,21.8917916666667,-0.330474806191667
2013-02-03 20:00:00,86,21.5310833333333,-0.252309431516667
2013-02-03 21:00:00,86,21.096375,-0.226679586558333
2013-02-03 22:00:00,86,20.8841666666667,-0.249499354
2013-02-03 23:00:00,85,20.3945416666667,-0.200306847533333
2013-02-04,84,20.0795833333333,-0.146043281658333
2013-02-04 01:00:00,83,19.866375,-0.220284237725
2013-02-04 02:00:00,82,19.6373333333333,-0.198029715758333
2013-02-04 03:00:00,81,19.4017916666667,-0.178407622741667
2013-02-04 04:00:00,79,18.7932083333333,-0.079748062025
2013-02-04 05:00:00,78,17.6825416666667,-0.1517118863
2013-02-04 06:00:00,76,17.2745,-0.328875968983333
2013-02-04 07:00:00,74,17.21975,-0.4411498708
2013-02-04 08:00:00,73,17.0270416666667,-0.603666020666667
2013-02-04 09:00:00,72,17.432375,1.75029069768333
2013-02-04 10:00:00,71,17.4704583333333,11.2210432816417
2013-02-04 11:00:00,68,16.8890416666667,24.8041505168
2013-02-04 12:00:00,66,16.21775,26.4911821705417
2013-02-04 13:00:00,65,16.0365,34.222690568475
2013-02-04 14:00:00,64,16.1278333333333,40.726033591725
2013-02-04 15:00:00,61,16.83775,61.7406653746667
2013-02-04 16:00:00,57,16.920875,82.76319444445
2013-02-04 17:00:00,55,17.2681666666667,161.27713178295
2013-02-04 18:00:00,64,18.2095,5.33761304908333
2013-02-04 19:00:00,67,18.6888333333333,-0.891343669258333
2013-02-04 20:00:00,69,19.0703333333333,-0.580652454783333
2013-02-04 21:00:00,72,18.5730416666667,-0.412128552975
2013-02-04 22:00:00,73,18.49375,-0.63956718345
2013-02-04 23:00:00,74,18.7582916666667,-0.572173772616667
2013-02-05,74,19.0372916666667,-0.88178294575
2013-02-05 01:00:00,75,19.3862083333333,-1.08210594314167
2013-02-05 02:00:00,77,19.9640416666667,-1.2143895349
2013-02-05 03:00:00,78,20.2937083333333,-1.149870801025
2013-02-05 04:00:00,79,20.4710833333333,-1.16078811368333
2013-02-05 05:00:00,81,20.2815416666667,-0.514906330741667
2013-02-05 06:00:00,81,20.21775,-1.03824289405
2013-02-05 07:00:00,82,22.012125,-0.363372093016667
2013-02-05 08:00:00,84,23.6945833333333,-0.112080103366667
2013-02-05 09:00:00,86,22.5325833333333,6.98590116278333
2013-02-05 10:00:00,83,21.7495833333333,102.009802971583
2013-02-05 11:00:00,65,20.7966666666667,243.4401485788
2013-02-05 12:00:00,46,20.5819166666667,276.21296834625
2013-02-05 13:00:00,19,20.0005416666667,515.796253229983
2013-02-05 14:00:00,54,20.7276666666667,127.492829457358
2013-02-05 15:00:00,72,21.612125,34.1360626615
2013-02-05 16:00:00,61,21.679125,255.584706072367
2013-02-05 17:00:00,69,22.89875,55.3649547803417
2013-02-05 18:00:00,79,23.3164583333333,7.97535529714167
2013-02-05 19:00:00,84,23.524375,-1.60216408268333
2013-02-05 20:00:00,87,23.9135833333333,-1.397416020675
2013-02-05 21:00:00,90,24.0129583333333,-1.16204780363333
2013-02-05 22:00:00,93,24.0157083333333,-0.851001291991667
2013-02-05 23:00:00,94,23.9163333333333,-0.597270671833333
2013-02-06,96,24.0411666666667,-0.596963824291667
